Company_Name,TwitterHandle,Hashtags
ADANIPORTS,@Adaniports,#adaniports #adani
ASIANPAINT,@asianpaints,#asianpaint
AXISBANK,@axisbank,#AxisBank
BAJAJ-AUTO,@Bajajauto,#bajajauto
BAJAJFINSV,@Bajaj_Finserv,#bajajfinserv
BAJFINANCE,@Bajaj_Finance,#bajajfinance
BHARTIARTL,@airtelnews,#airtel
BPCL,@BPCLimited,#BPCL
BRITANNIA,@BritanniaIndLtd,#Britannia
CIPLA,@Cipla_Global,#Cipla
COALINDA,@CoalIndiaHQ,#CIL
DRREDDY,@drreddys,#DrReddys
EICHERMOTO,@ETBIndia,#eichermotors
GAIL,@gailindia,#gail #gailindia
GRASIM,@GrasimInd, #grasimind #grasim
HCLTECH,@hcltech,#hcltech
HDFC,@HomeLoansByHDFC,#hdfc
HDFCBANK,@HDFCBankNews,#hdfcbank
HEROMOTOCO,@HeroMotoCorp,#heromotoco
HINDALCO,@Hindalco_World,#hindalco
HINDUNILVR,@HUL_News,#HindustanUnilever
ICICIBANK,@ICICIBank,#icici
INDUSINDBK,@MyIndusIndBank,#IndusIndBank
INFY,@Infosys,#infosys #infy
IOC,@IndianOilcl,#IndianOil
ITC,@ITCHotels,#ITCHotels
JSWSTEEL,@jswsteel,#JSWSteel
KOTAKBANK,@KotakBankLtd,#Kotak
LT,@lntenc,#LarsenAndToubro
MARUTI,@Maruti_Corp,#MarutiSuzuki
MMTC,,#MMTC
NESTLEIND,@NestleIndia,#NestleIndia #Nestle
NTPC,@ntpclimited,#NTPC
ONGC,@ONGC_,#ONGC
POWERGRID,@pgcilindia,#PGCI
RELIANCE,@reliancegroup,#Reliance
SBIN,@TheOfficialSBI,#SBI
SHREECEM,@shreecementltd,#shreecem
SUNPHARMA,@SunPharma_Live,#sunpharma
TATAMOTORS,@TataMotors,#tatamotors
TATASTEEL,@TataSteelLtd,#tatasteel
TCS,@TCS,#TCS
TECHM,@tech_mahindra,#techmahindra
TITAN,,#titan
ULTRACEMCO,@UltraTechCement,#ultracemco
UPL,,#upl
VEDL,@VedantaLimited,#Vedl
WIPRO,@Wipro,#wipro
ZEEL,,#zee
